"","unique_id","experiment","total_cycle","Treatment","PtoA","LtoP","Egg_period","Larval_period","Egg_laying"
"231",333,"autumn",15,25,FALSE,FALSE,3,12,"2015-10-11T00:00:00Z"
"232",334,"autumn",19,25,FALSE,FALSE,2,17,"2015-10-19T00:00:00Z"
"233",335,"autumn",NA,25,FALSE,TRUE,2,6,"2015-10-19T00:00:00Z"
"234",336,"autumn",5,25,FALSE,FALSE,2,3,"2015-10-19T00:00:00Z"
"235",337,"autumn",NA,25,FALSE,FALSE,NA,4,"2015-10-11T00:00:00Z"
"236",338,"autumn",15,25,FALSE,FALSE,2,13,"2015-10-19T00:00:00Z"
"237",339,"autumn",2,25,FALSE,FALSE,2,1,"2015-10-19T00:00:00Z"
"238",340,"autumn",2,25,FALSE,FALSE,2,1,"2015-10-19T00:00:00Z"
"239",341,"autumn",19,20,FALSE,FALSE,7,12,"2015-10-19T00:00:00Z"
"240",342,"autumn",NA,20,FALSE,TRUE,7,19,"2015-10-19T00:00:00Z"
"241",343,"autumn",13,20,FALSE,FALSE,7,6,"2015-10-19T00:00:00Z"
"242",344,"autumn",NA,20,FALSE,FALSE,NA,3,"2015-10-19T00:00:00Z"
"243",345,"autumn",NA,20,FALSE,FALSE,NA,1,"2015-10-19T00:00:00Z"
"244",346,"autumn",NA,20,FALSE,FALSE,NA,1,"2015-10-19T00:00:00Z"
"245",347,"autumn",2,25,FALSE,FALSE,2,1,"2015-10-19T00:00:00Z"
"246",348,"autumn",NA,25,TRUE,TRUE,2,14,"2015-10-07T00:00:00Z"
"247",349,"autumn",NA,25,FALSE,FALSE,NA,1,"2015-10-19T00:00:00Z"
"248",350,"autumn",21,25,FALSE,FALSE,3,18,"2015-10-19T00:00:00Z"
"249",351,"autumn",NA,25,FALSE,FALSE,NA,1,"2015-10-19T00:00:00Z"
"250",352,"autumn",NA,25,FALSE,FALSE,NA,1,"2015-10-19T00:00:00Z"
"251",353,"autumn",14,25,FALSE,FALSE,3,11,"2015-10-19T00:00:00Z"
"252",354,"autumn",NA,20,FALSE,FALSE,NA,1,"2015-10-19T00:00:00Z"
"253",355,"autumn",NA,20,TRUE,TRUE,7,15,"2015-10-19T00:00:00Z"
"254",356,"autumn",NA,20,FALSE,FALSE,NA,1,"2015-10-19T00:00:00Z"
"255",357,"autumn",8,20,FALSE,FALSE,7,1,"2015-10-19T00:00:00Z"
"256",358,"autumn",8,20,FALSE,FALSE,7,1,"2015-10-19T00:00:00Z"
"257",359,"autumn",NA,25,TRUE,TRUE,2,14,"2015-10-07T00:00:00Z"
"258",360,"autumn",NA,20,FALSE,FALSE,NA,1,"2015-10-19T00:00:00Z"
"259",361,"autumn",NA,20,TRUE,TRUE,NA,10,"2015-10-11T00:00:00Z"
"260",362,"autumn",NA,20,TRUE,TRUE,NA,10,"2015-10-11T00:00:00Z"
"261",363,"autumn",NA,20,FALSE,TRUE,NA,10,"2015-10-11T00:00:00Z"
"262",364,"autumn",NA,20,FALSE,FALSE,NA,10,"2015-10-11T00:00:00Z"
"263",365,"autumn",NA,20,TRUE,TRUE,NA,10,"2015-10-11T00:00:00Z"
"264",366,"autumn",NA,20,TRUE,TRUE,NA,10,"2015-10-11T00:00:00Z"
"265",367,"autumn",NA,20,FALSE,TRUE,NA,15,"2015-10-11T00:00:00Z"
"266",368,"autumn",NA,20,TRUE,TRUE,NA,10,"2015-10-11T00:00:00Z"
"267",369,"autumn",NA,20,TRUE,TRUE,NA,10,"2015-10-11T00:00:00Z"
"268",370,"autumn",NA,25,TRUE,TRUE,2,14,"2015-10-07T00:00:00Z"
"269",371,"autumn",NA,20,FALSE,TRUE,NA,13,"2015-10-11T00:00:00Z"
"270",372,"autumn",NA,20,TRUE,TRUE,NA,10,"2015-10-11T00:00:00Z"
"271",373,"autumn",NA,20,TRUE,TRUE,NA,10,"2015-10-11T00:00:00Z"
"272",374,"autumn",NA,20,TRUE,TRUE,5,15,"2015-10-11T00:00:00Z"
"273",375,"autumn",NA,20,TRUE,TRUE,5,17,"2015-10-11T00:00:00Z"
"274",376,"autumn",12,25,FALSE,FALSE,2,10,"2015-10-07T00:00:00Z"
"275",377,"autumn",4,20,FALSE,FALSE,4,1,"2015-10-07T00:00:00Z"
"276",378,"autumn",NA,25,FALSE,FALSE,NA,6,"2015-10-07T00:00:00Z"
"277",379,"autumn",NA,25,FALSE,FALSE,NA,1,NA
"278",380,"autumn",NA,25,FALSE,FALSE,NA,13,"2015-10-11T00:00:00Z"
"279",381,"autumn",NA,25,FALSE,FALSE,NA,1,"2015-10-11T00:00:00Z"
"280",382,"autumn",NA,25,FALSE,FALSE,NA,7,"2015-10-11T00:00:00Z"
"281",383,"autumn",NA,25,FALSE,FALSE,NA,8,"2015-10-11T00:00:00Z"
"282",384,"autumn",NA,25,FALSE,FALSE,NA,10,"2015-10-11T00:00:00Z"
"283",385,"autumn",NA,25,FALSE,FALSE,NA,8,"2015-10-11T00:00:00Z"
"284",386,"autumn",NA,25,FALSE,FALSE,NA,2,"2015-10-11T00:00:00Z"
"285",387,"autumn",NA,25,FALSE,FALSE,NA,12,"2015-10-11T00:00:00Z"
"286",388,"autumn",NA,25,FALSE,FALSE,NA,1,"2015-10-11T00:00:00Z"
"287",389,"autumn",NA,20,FALSE,FALSE,NA,1,"2015-10-07T00:00:00Z"
"288",390,"autumn",NA,25,FALSE,FALSE,NA,2,"2015-10-11T00:00:00Z"
"289",391,"autumn",NA,25,FALSE,FALSE,NA,4,"2015-10-11T00:00:00Z"
"290",392,"autumn",NA,25,FALSE,FALSE,NA,2,"2015-10-11T00:00:00Z"
"291",393,"autumn",NA,25,FALSE,FALSE,NA,8,"2015-10-11T00:00:00Z"
"292",394,"autumn",NA,25,FALSE,FALSE,NA,6,"2015-10-11T00:00:00Z"
"293",395,"autumn",NA,25,FALSE,FALSE,NA,6,"2015-10-11T00:00:00Z"
"294",396,"autumn",NA,25,FALSE,FALSE,NA,5,"2015-10-11T00:00:00Z"
"295",397,"autumn",NA,25,FALSE,FALSE,NA,5,"2015-10-11T00:00:00Z"
"296",398,"autumn",NA,25,FALSE,FALSE,NA,5,"2015-10-11T00:00:00Z"
"297",399,"autumn",NA,20,FALSE,FALSE,NA,6,"2015-10-07T00:00:00Z"
"298",400,"autumn",NA,20,FALSE,FALSE,NA,6,"2015-10-07T00:00:00Z"
"299",401,"autumn",NA,20,FALSE,FALSE,NA,1,"2015-10-07T00:00:00Z"
"300",402,"autumn",NA,20,FALSE,FALSE,NA,1,"2015-10-07T00:00:00Z"
"301",403,"autumn",3,20,FALSE,FALSE,3,1,"2015-10-07T00:00:00Z"
"302",404,"autumn",NA,25,TRUE,TRUE,1,16,"2015-10-09T00:00:00Z"
"303",405,"autumn",NA,25,TRUE,TRUE,1,16,"2015-10-09T00:00:00Z"
"304",406,"autumn",17,25,FALSE,FALSE,3,14,"2015-10-09T00:00:00Z"
"305",407,"autumn",NA,20,TRUE,TRUE,3,12,"2015-10-07T00:00:00Z"
